epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,15039.3,0.54053,0.55266,0.23262,0.83181,0.77275,0.82328,0.4593,0.5437,0.54324,0.31956,0.0009176,0.0009176,0.0009176
43,15387.4,0.54501,0.54441,0.23997,0.83307,0.7702,0.82898,0.4727,0.53865,0.53872,0.3115,0.0008912,0.0008912,0.0008912
44,15735.6,0.53103,0.5448,0.2368,0.83419,0.76923,0.82758,0.47165,0.53025,0.55593,0.30758,0.0008648,0.0008648,0.0008648
45,16083.2,0.53093,0.55061,0.23089,0.82455,0.77404,0.82815,0.47327,0.53771,0.5414,0.31626,0.0008384,0.0008384,0.0008384
46,16431.4,0.52788,0.53903,0.23247,0.82425,0.78221,0.82967,0.47737,0.54125,0.53607,0.31639,0.000812,0.000812,0.000812
47,16780.1,0.52223,0.54448,0.22892,0.82345,0.76467,0.82121,0.4743,0.53395,0.55184,0.31526,0.0007856,0.0007856,0.0007856
48,17128.2,0.51867,0.53256,0.22723,0.83023,0.78292,0.83895,0.48432,0.54348,0.52321,0.3181,0.0007592,0.0007592,0.0007592
49,17476.2,0.51512,0.5351,0.22294,0.85077,0.75865,0.83112,0.48896,0.5332,0.53483,0.30789,0.0007328,0.0007328,0.0007328
50,17824.6,0.50966,0.53173,0.21905,0.8554,0.76789,0.83555,0.4921,0.53711,0.5237,0.30862,0.0007064,0.0007064,0.0007064
51,18173.4,0.49742,0.52617,0.21588,0.83503,0.7774,0.83713,0.49079,0.53488,0.52139,0.3042,0.00068,0.00068,0.00068
52,18521.6,0.50255,0.53197,0.21536,0.84804,0.78347,0.84183,0.49944,0.52875,0.52272,0.30531,0.0006536,0.0006536,0.0006536
53,18870.1,0.49756,0.52232,0.21315,0.86395,0.77852,0.84912,0.50371,0.53284,0.50703,0.30785,0.0006272,0.0006272,0.0006272
54,19218.7,0.48475,0.51694,0.21302,0.85636,0.79327,0.84696,0.49692,0.52738,0.5289,0.3068,0.0006008,0.0006008,0.0006008
55,19567.1,0.48758,0.51633,0.2099,0.86443,0.79038,0.8495,0.50833,0.52787,0.50936,0.30873,0.0005744,0.0005744,0.0005744
56,19915.7,0.48546,0.51111,0.20893,0.85365,0.79567,0.84698,0.5103,0.52189,0.51218,0.3043,0.000548,0.000548,0.000548
57,20264.4,0.48406,0.50979,0.21031,0.85191,0.78798,0.84697,0.50893,0.52052,0.52544,0.30922,0.0005216,0.0005216,0.0005216
58,20612.1,0.47399,0.50558,0.2024,0.86081,0.78794,0.85437,0.51412,0.5295,0.5092,0.30811,0.0004952,0.0004952,0.0004952
59,20960.3,0.47085,0.50512,0.19894,0.85172,0.8,0.84449,0.50846,0.53568,0.5121,0.31341,0.0004688,0.0004688,0.0004688
60,21308.2,0.46552,0.50123,0.20159,0.86682,0.7875,0.84334,0.51144,0.52577,0.51523,0.31243,0.0004424,0.0004424,0.0004424
61,21656.3,0.46058,0.49929,0.19682,0.87128,0.78756,0.84407,0.51158,0.5317,0.51361,0.31724,0.000416,0.000416,0.000416
62,22004.4,0.45809,0.49622,0.19615,0.85484,0.79277,0.84463,0.51587,0.52335,0.52424,0.31225,0.0003896,0.0003896,0.0003896
63,22353.5,0.45404,0.48723,0.19147,0.8716,0.78653,0.84813,0.51776,0.52303,0.51914,0.31358,0.0003632,0.0003632,0.0003632
64,22702.1,0.45074,0.48604,0.18972,0.87033,0.78702,0.84307,0.51856,0.52196,0.51964,0.31111,0.0003368,0.0003368,0.0003368
65,23051.4,0.44585,0.48176,0.19034,0.86802,0.78732,0.84384,0.51616,0.53446,0.51991,0.31664,0.0003104,0.0003104,0.0003104
66,23401.9,0.41436,0.45254,0.19041,0.86751,0.79038,0.84629,0.51893,0.53081,0.52464,0.31595,0.000284,0.000284,0.000284
67,23751.5,0.40464,0.44871,0.18422,0.8746,0.79137,0.849,0.52359,0.52976,0.52761,0.32129,0.0002576,0.0002576,0.0002576
68,24101,0.39996,0.44237,0.18229,0.8779,0.79156,0.85312,0.53151,0.52241,0.51097,0.3101,0.0002312,0.0002312,0.0002312
69,24450.1,0.39246,0.43644,0.17659,0.87196,0.79567,0.85841,0.53614,0.51667,0.51881,0.30679,0.0002048,0.0002048,0.0002048
70,24798.9,0.38292,0.43342,0.1718,0.88141,0.78966,0.8522,0.53531,0.52278,0.52581,0.31836,0.0001784,0.0001784,0.0001784
71,25147.2,0.38497,0.43626,0.17456,0.88121,0.78846,0.85141,0.53746,0.52677,0.50418,0.31505,0.000152,0.000152,0.000152
72,25496.4,0.37799,0.4163,0.16585,0.88398,0.79489,0.85347,0.53906,0.52242,0.50976,0.31297,0.0001256,0.0001256,0.0001256
73,25845.1,0.37398,0.41695,0.16311,0.88342,0.79375,0.85453,0.53894,0.52349,0.50654,0.31046,9.92e-05,9.92e-05,9.92e-05
74,26193.7,0.3724,0.41194,0.16574,0.88859,0.79231,0.85454,0.54035,0.52624,0.50147,0.31482,7.28e-05,7.28e-05,7.28e-05
75,26542.2,0.37037,0.41036,0.16259,0.8912,0.79152,0.85366,0.54064,0.5224,0.50594,0.31375,4.64e-05,4.64e-05,4.64e-05
